Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s]
439,2.19,1410.29398,3.582603,5.151779,2.220936
440,2.195,1479.652701,3.598646,5.162882,2.220001
441,2.2,1491.212487,3.615131,5.173979,2.219037
442,2.205,1502.772274,3.631736,5.185072,2.218066
443,2.21,1537.451634,3.648591,5.19616,2.217079
444,2.215,1514.332061,3.665503,5.207243,2.216088
445,2.22,1514.332061,3.682278,5.218321,2.215106
446,2.225,1583.690781,3.69943,5.229394,2.214099
447,2.23,1560.571208,3.716831,5.240462,2.213077
448,2.235,1549.011421,3.734031,5.251524,2.212066
449,2.24,1560.571208,3.751224,5.262582,2.211056
450,2.245,1641.489715,3.768919,5.273635,2.210014
451,2.25,1583.690781,3.786734,5.284682,2.208964
452,2.255,1595.250568,3.804286,5.295725,2.207929
453,2.26,1606.810355,3.821956,5.306762,2.206887
454,2.265,1572.130994,3.839491,5.317794,2.205853
455,2.27,1549.011421,3.856699,5.32882,2.204839
456,2.275,1537.451634,3.873708,5.339842,2.203836
457,2.28,1572.130994,3.890837,5.350859,2.202826
458,2.285,1595.250568,3.908276,5.36187,2.201795
459,2.29,1560.571208,3.925643,5.372877,2.200769
460,2.295,1549.011421,3.942748,5.383878,2.199759
461,2.3,1641.489715,3.960289,5.394874,2.198721
462,2.305,1653.049502,3.978394,5.405865,2.197647
463,2.31,1699.288648,3.996808,5.416851,2.196554
464,2.315,1629.929928,4.015085,5.427831,2.195468
465,2.32,1629.929928,4.032973,5.438805,2.194407
466,2.325,1641.489715,4.050916,5.449775,2.193341
467,2.33,1629.929928,4.06885,5.460739,2.192275
468,2.335,1606.810355,4.086585,5.471697,2.191221
469,2.34,1595.250568,4.104122,5.482651,2.190179
470,2.345,1618.370141,4.121714,5.493599,2.189133
471,2.35,1641.489715,4.13955,5.504542,2.188072
472,2.355,1653.049502,4.157567,5.51548,2.186998
473,2.36,1653.049502,4.175639,5.526412,2.185921
474,2.365,1664.609288,4.193765,5.537339,2.184839
475,2.37,1629.929928,4.211756,5.548261,2.183766
476,2.375,1653.049502,4.229674,5.559177,2.182696
477,2.38,1664.609288,4.247773,5.570088,2.181615
478,2.385,1676.169075,4.26599,5.580993,2.180525
479,2.39,1676.169075,4.28426,5.591893,2.179432
480,2.395,1710.848435,4.302709,5.602787,2.178327
481,2.4,1687.728862,4.321213,5.613676,2.177218
482,2.405,1676.169075,4.339518,5.624559,2.176121
483,2.41,1641.489715,4.357563,5.635437,2.17504
484,2.415,1641.489715,4.37541,5.64631,2.17397
485,2.42,1618.370141,4.393123,5.657177,2.172908
486,2.425,1618.370141,4.410701,5.668039,2.171854
487,2.43,1653.049502,4.428459,5.678896,2.170789
488,2.435,1653.049502,4.446397,5.689747,2.169711
489,2.44,1676.169075,4.464451,5.700593,2.168626
490,2.445,1699.288648,4.482747,5.711433,2.167525
